id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9.52103e+17,West Roxbury 3rd flr private room with double bed,69267172,Lynda,West Roxbury,42.27766862,-71.16072295,Private room,60.0,1,22,5/27/2024,2.19,11,170,22,STR-513970
9.52863e+17,Master Bedroom in a Single Family house,526738308,Xianming,West Roxbury,42.2842416,-71.167526,Private room,60.0,2,8,5/30/2024,0.85,6,203,8,STR-533053
9.529e+17,Queen Bedroom in Single Family House,526738308,Xianming,West Roxbury,42.28478,-71.16667,Private room,65.0,2,3,1/24/2024,0.32,6,230,3,STR-533053
9.52928e+17,SeaportSouthie Convention Center,117831587,Luke,South Boston,42.33784,-71.04517,Entire home/apt,591.0,3,30,6/12/2024,3.21,2,196,30,Exempt: This listing is a unit used for furnished institutional or business stays
9.54909e+17,"DowntownBoston,Nearly everything",208829554,Ping,Chinatown,42.34873,-71.06069,Entire home/apt,217.0,91,3,6/1/2024,0.52,3,191,3,STR-399153
9.55747e+17,Bright Back Bay Studio,275849638,Steven,Back Bay,42.35202977,-71.08161956,Entire home/apt,302.0,1,41,6/1/2024,4.32,69,213,41,STR-450901
9.55828e+17,Hyde Park Vacation Rental ~ 11 Mi to Boston!,122377513,Evolve,Hyde Park,42.25156,-71.14153,Entire home/apt,218.0,3,1,8/20/2023,0.1,5,61,1,STR-530906
9.57168e+17,"2 Bedroom Loft Apartment in Brighton, Free Parking",160661353,Shira,Brighton,42.34524271,-71.15029424,Entire home/apt,196.0,2,5,6/13/2024,0.77,2,19,5,STR-544744
9.5806e+17,"(CL5) Roof Deck, w/d",331225367,Foster,South End,42.34234746,-71.07732179,Entire home/apt,210.0,1,25,6/13/2024,2.61,72,63,25,str-526502
9.58063e+17,(CL2) New with Roof Deck & w/d!,331225367,Foster,South End,42.34214779,-71.07909587,Entire home/apt,253.0,1,36,6/12/2024,3.69,72,52,36,str-526502
9.58065e+17,(CL9) BRAND NEW!  Back Bay/ South End. Roof Deck!,528489640,Foster,South End,42.34226,-71.07925,Entire home/apt,194.0,1,33,6/5/2024,3.37,3,60,33,str-526502
9.58553e+17,D/R3 Private big room IN Boston,412452734,Dan,Dorchester,42.31716139,-71.05388946,Private room,36.0,29,5,11/12/2023,0.52,9,220,5,Exempt: This listing is a unit that has contracts with hospitals
9.5874e+17,Cozy full condo / Walkable to T,200275488,Chris,East Boston,42.36743,-71.03544,Entire home/apt,257.0,3,25,6/17/2024,2.56,1,8,25,STR-478920
9.60244e+17,(PG03) Fenway Studio Cute & Cozy,233908696,Together We,Fenway,42.34696,-71.10332,Entire home/apt,199.0,1,38,6/17/2024,3.86,2,45,38,str-543851
9.60442e+17,"Boston Room w/ Great Amenities, Priv Bath, Kitchen",31340713,Kama,Back Bay,42.3520126,-71.0823029,Entire home/apt,151.0,30,7,11/4/2023,0.74,27,109,7,Exempt: This listing is a unit used for furnished institutional or business stays
9.6046e+17,Boston Room w/ Great Amenities,266312920,STARS Of,Back Bay,42.35253,-71.08066,Entire home/apt,190.0,29,1,10/21/2023,0.12,31,172,1,Exempt: This listing is a unit used for furnished institutional or business stays
9.60649e+17,C1 Convenient Sunny Room Boston,412452734,Dan,Allston,42.35012,-71.13541,Private room,51.0,1,3,10/15/2023,0.31,9,268,3,Exempt: This listing is a unit that has contracts with hospitals
9.60686e+17,Walk everywhere! 1 bed / 1 bath / Super location!,47584294,Jessy And Diego,Back Bay,42.34445218,-71.08105166,Entire home/apt,206.0,2,35,5/18/2024,3.58,14,151,35,Exempt: This listing is a unit that has contracts with hospitals
9.61843e+17,"Cozy Queen Bd, 7mn to Aiport, 3 mn walk to Train",44837494,Nemrac,East Boston,42.37103788,-71.04006198,Private room,99.0,1,22,6/15/2024,6.23,2,235,22,STR-546789
